First Time: 1744179801.010166; Last Time: 1744179831.1409466; Total Time(s): 30.130780696868896; Fitness: 110.14768193046939; Individual: Csch(Exp(Minimum(Divide(Csch(Sinh(Divide(OrR2R1x, dr_1))), Minus(Abs(Acos(x_1)), Sqr(Plus(yd_1, dr_2)))), Maximum(Minus(Real(Csc(OrR1R1y)), Abs(Tan(xd_1))), Logn(Sqr(Sec(x_2)))))));
First Time: 1744179831.1409466; Last Time: 1744179850.2416768; Total Time(s): 19.100730180740356; Fitness: 96.96293459121085; Individual: Maximum(OrR1R1y, td);
First Time: 1744179850.2416768; Last Time: 1744179869.2253945; Total Time(s): 18.983717679977417; Fitness: 107.61008552202443; Individual: Abs(Divide(Atanr(yd_1), Atan2r(xd_1, x_2)));
First Time: 1744179869.2253945; Last Time: 1744179898.171833; Total Time(s): 28.946438550949097; Fitness: 95.88026168283628; Individual: Cot(Plus(Acos(Real(Cot(Cosh(Real(Sech(Cos(Plus(xd_2, OrR1R1x)))))))), Csc(Tan(Coth(Tan(Norm(Real(Cos(Tanh(yd_2))))))))));
First Time: 1744179898.1741464; Last Time: 1744179903.9235663; Total Time(s): 5.749419927597046; Fitness: inf; Individual: Csch(Sqr(t_1));
First Time: 1744179903.9235663; Last Time: 1744179923.9849472; Total Time(s): 20.061380863189697; Fitness: 87.66029530829903; Individual: Logn(Sinh(Minus(Logn(yd_2), t_1)));
First Time: 1744179923.9849472; Last Time: 1744179942.5375674; Total Time(s): 18.55262017250061; Fitness: 77.49389797177744; Individual: Sqrt(y_2);
First Time: 1744179942.5375674; Last Time: 1744179958.417028; Total Time(s): 15.879460573196411; Fitness: 166.30048240825045; Individual: Csch(Coth(Asin(Vx_2)));
First Time: 1744179958.4326599; Last Time: 1744179993.4812376; Total Time(s): 35.04857778549194; Fitness: 100.00163253324783; Individual: Csc(Maximum(Exp(Csc(Sech(Cos(Divide(Cot(Sqr(td)), Cosh(Abs(OrR2R1x))))))), Atan2r(Sin(Asin(Csc(Times(Divide(Sin(Vx_2), Maximum(t_2, ds_2)), Cosh(Minus(t_1, dr_1)))))), Tanh(Logn(Cosh(Times(Real(Atanr(td)), Sech(Exp(OrR2R1x)))))))));
First Time: 1744179993.5023963; Last Time: 1744180012.980362; Total Time(s): 19.477965593338013; Fitness: 78.49150492323392; Individual: Tan(x_2);
First Time: 1744180012.980362; Last Time: 1744180042.278297; Total Time(s): 29.297935009002686; Fitness: 107.59800185041516; Individual: Asin(Abs(Cot(Coth(Tanh(Maximum(Plus(Times(Coth(Tan(y_2)), Sqrt(Plus(dr_2, y_1))), Atanr(Logn(Sec(xd_2)))), Sqr(Real(Minus(Logn(Vx_2), Divide(x_1, OrR1R1x))))))))));
First Time: 1744180042.278297; Last Time: 1744180056.462097; Total Time(s): 14.183799982070923; Fitness: 133.18534149864882; Individual: Exp(t_1);
First Time: 1744180056.477723; Last Time: 1744180096.791542; Total Time(s): 40.31381916999817; Fitness: 195.3197806198689; Individual: Minimum(Maximum(Logn(Exp(Divide(Minus(Divide(Norm(Acos(x_1)), Cos(Tan(y_2))), Atanr(Minus(Minimum(x_1, OrR1R1y), Sec(OrR2R1x)))), Minus(Minimum(Plus(Tan(yd_1), Minus(t_2, t_1)), Csch(Sec(xd_2))), Sqrt(Atan2r(Minus(td, dr_2), Csc(t_2))))))), Sqr(Csch(Minimum(Tanh(Cos(Coth(Cos(y_2)))), Coth(Maximum(Atanr(Norm(x_1)), Atan2r(Cos(Vx_2), Exp(yd_1)))))))), Minus(Sqr(Atan2r(Atan2r(Sech(Minimum(Minus(Sin(x_2), Sinh(y_1)), Sec(Asin(Vy_1)))), Norm(Sqr(Acos(Maximum(x_2, yd_1))))), Sin(Sqr(Acos(Csc(Maximum(xd_1, dr_2))))))), Sinh(Atan2r(Acos(Atanr(Norm(Logn(Atanr(OrR1R1y))))), Sin(Sin(Atan2r(Cos(Times(Vy_1, xd_2)), Exp(Csc(Vx_2)))))))));
First Time: 1744180096.8132875; Last Time: 1744180114.5458367; Total Time(s): 17.73254919052124; Fitness: 114.26161730405002; Individual: Sin(Sec(yd_1));
First Time: 1744180114.5614643; Last Time: 1744180120.8607686; Total Time(s): 6.299304246902466; Fitness: inf; Individual: Sinh(Sqr(Cosh(Maximum(Sec(Plus(Atanr(dr_2), Csc(OrR1R1x))), Atan2r(Real(Sin(dr_2)), Logn(Maximum(OrR2R1x, dr_1)))))));
First Time: 1744180120.8763978; Last Time: 1744180139.1437795; Total Time(s): 18.26738166809082; Fitness: 81.32914229062848; Individual: Sqrt(x_1);
First Time: 1744180139.1437795; Last Time: 1744180158.0060241; Total Time(s): 18.862244606018066; Fitness: 96.96293459121085; Individual: Maximum(td, ds_2);
First Time: 1744180158.0060241; Last Time: 1744180178.1414363; Total Time(s): 20.135412216186523; Fitness: 114.10809115175206; Individual: Maximum(Sqrt(x_1), Cos(yd_2));
First Time: 1744180178.1424253; Last Time: 1744180184.1709054; Total Time(s): 6.028480052947998; Fitness: inf; Individual: Abs(Coth(Vx_1));
First Time: 1744180184.1865313; Last Time: 1744180201.787682; Total Time(s): 17.60115075111389; Fitness: 160.82547996582133; Individual: Cos(Tan(Maximum(Sec(dr_1), Sech(t_1))));
First Time: 1744180201.787682; Last Time: 1744180226.4898946; Total Time(s): 24.70221257209778; Fitness: 122.17105109300878; Individual: Asin(Coth(Coth(Norm(Cosh(Asin(Asin(Csc(Times(Sinh(y_2), Csch(x_2))))))))));
First Time: 1744180226.4898946; Last Time: 1744180232.3029099; Total Time(s): 5.8130152225494385; Fitness: 301.94000831173804; Individual: Atanr(Acos(Norm(Atan2r(Cot(Sqr(Csc(Times(Plus(Sqrt(Csch(yd_1)), Tan(Abs(dr_2))), Logn(Tanh(Norm(dr_1))))))), Coth(Cosh(Tan(Acos(Sinh(Sin(Tan(Vy_2)))))))))));
First Time: 1744180232.3029099; Last Time: 1744180238.3568292; Total Time(s): 6.053919315338135; Fitness: 301.94000831173804; Individual: Exp(Sinh(Times(Sqrt(Atan2r(Abs(Divide(Vx_1, dr_1)), Csch(Cos(Vy_1)))), Asin(Plus(Abs(Asin(t_1)), Sech(Logn(Vy_2)))))));
First Time: 1744180238.372459; Last Time: 1744180252.9851856; Total Time(s): 14.61272668838501; Fitness: 169.63842534089767; Individual: Minus(Vx_2, ds_2);
